b	家
klkf	涪
klkz	漳
klkv	潼
klkw	澉
klhf	濮
klhd	泖
kljg	忒
klvh	烫
klvs	渌
klyd	滚
kgdd	溺
kgdh	濂
kgnp	澜
kgnr	涧
kgnw	润
kgld	派
kgln	潺
kgls	泳
kggj	匾
kgkt	渥
kgxf	溏
kgxj	匠
kgcv	渡
kgrd	涮
kgyb	潢
kkfb	漱
kkfp	涑
kkfm	河
kkfr	濑
kkdp	涞
kkdd	浃
kkds	添
kknj	沌
kkgp	渠
kkhv	滠
kkqg	浦
kkqc	溥
kkqs	浇
kkqr	漕
kksr	滞
kkrk	洹
kkyj	沤
khbm	聍
khbs	耽
khph	湫
khpq	潲
khmn	濞
khmq	溴
khfr	聩
khdm	渊
khdd	联 洮
khdt	潘
khdl	聪
khdv	湍
khtf	浩
khts	洗
khnd	澳
khnt	聃
khnr	浈
khlp	染
khld	聊
khgg	泛
khkm	耵
khkt	垩
khkl	恶
khkq	戬
khkr	晋
khhf	聒
khhn	滹
khjk	瀣
khsf	活
khrl	涔
khrg	聆
khrw	激 湟
khvx	娶
khvc	聚
khvr	颞
khvv	聂 鄹
khyj	聘
kjpv	溆
kjmv	溲
kjfz	趸
kjfc	瀹
kjfy	虿
kjnd	涣
kjlk	互
kjlh	劢
kjgn	鸢
kjhg	泼
kjqd	渝
kjqs	溉
kjzs	浒
kjcw	澹
kjsw	潋
kqbg	泷
kqmg	甫
kqmz	逋
kqmw	敷
kqkk	澧
kqkx	翘
kqks	尧
kqrz	遭
kxbv	浸
kxmx	妻
kxlf	浯
kxkn	鸿
kxkg	式
kxhd	裟
kxhn	挲
kxhk	鲨
kxhx	娑
kxjl	沔
kxxw	濯
kxvx	漂
kzfc	澍
kzfs	澎
kzdj	医 沲
kzdx	翳
kznt	墼
kzln	浮
kzlg	涎
kzhz	淫
kzjg	海
kzyd	溪
kzyq	滗
kcbg	滢
kcbh	涝
kcbx	潆
kcfw	灌
kctt	涯
kclh	沥
kckp	渫
kckl	懑
kckh	燹
kckj	泄
kckr	满
kchx	源
kcqn	漭
kcql	慝
kcqj	匿
kcxb	潇
kcsb	淇
kcsj	湛
kcsx	澌
kcrd	漠
kcvp	梁 粱
kcvg	甙
kcvc	溽
ksbh	渤
ksbr	带
ksmj	滟
ksfy	湖 虺
ksnf	淌
ksld	渎
kskj	泯
kshm	漪
kshc	涛
kshr	潴
ksqr	渚
ksxv	淑
kszh	淘
kszx	瀚
kszy	潮
ksrp	溱
krbb	混
krmv	漫
krlg	泠
krlj	沧
krgs	瀑
krhk	湿
krjr	灏
krxx	溻
krxv	郾
krsj	渴
krrp	麴
krvy	浍
kryl	惠
kvng	贰
kvnr	渍
kvlh	泐
kvlw	滩
kvkw	潍
kvjp	滁
kvxk	泾
kvzm	滥
kwbc	濠
kwln	淳
kwlw	液
kwhp	滦
kwhg	湾
kwhk	澶
kwqm	洚
kwrs	淬
kwyf	瀛
kwyd	浏
kwyn	漓
kwyh	流
kwyj	鎏
kwyq	济
kwyw	澈
kybw	浚
kymj	淝
kyds	渗
kydv	濡
kytp	臻
kytd	到
kytv	郅
kytw	致
kygy	灞
kyjb	欧
kyjn	鸥
kyjs	殴
kyjw	瓯
kyqq	淆
kyqr	浠
kyyr	爽
hbbk	崆
hbkm	睿
hbkt	壑
hbkk	煊
hbjy	嵬
hbzz	嶷
hbvx	崇
hbvs	烷
hpbb	秕
hpbc	稼
hpby	崧
hppg	秫
hpfm	种
hpff	稆
hpfw	程
hpdp	梨
hpdn	犁
hpdx	税
hptr	颓
hptw	稷
hpnf	稠
hpnd	秧
hpnz	透
hpns	租
hpln	季
hplw	稚
hpgg	稂
hpkl	穗
hpks	秤
hphf	秩
hphl	愁
hphg	秽
hphh	秭
hphs	穆
hpjl	稳
hpjg	移
hpjx	称
hpqh	嵇
hpqr	稽
hpxh	秒
hpxz	逶
hpxy	魏
hpzf	秸
hpzn	稃
hpzj	稻
hpsh	穑
hpsq	稍 黧
hpss	黎
hprp	稞
hprf	黏
hprl	稔
hprs	黍
hprw	馥
hpvs	科
hpwf	稿
hpwd	穰
hpyr	稀
hmdn	衅
hmtd	劓
hmtn	鼻
hmtl	鼽
hmtg	睾 鼾
hmtk	齄
hmlt	衄
hffp	燥
hfkd	虞
hfkq	战
hdpm	嶙
hdpt	番
hdpn	释
hdpl	悉
hdpx	翻 嵝
hdpv	鄱
hdpy	釉
hddx	燎
hdnz	遄
hdnr	烦 颛
hdlb	炼
hdkm	崎
hdkn	烊
hdkk	嵯
hdkz	燧
hdky	嵫
hdjd	兆
hdjz	逃
hdjv	鼗
hdsx	崭
hdrj	崦
htff	靠
htfn	鹄
htfz	造
htfv	郜
htkd	煨
htsz	选
htsr	赞
hndm	犄
hndd	奥
hndk	烟
hndj	粤
hntj	觏
hntz	遘
hntc	特
hnnb	犋
hngk	卣
hngc	犏
hnhf	牿
hnhv	牲
hnqn	鹅
hnxf	牾
hnxg	犍
hnsf	牯
hnsd	犊
hnsk	崮
hnsv	物
hnwf	犒
hnwk	囱
hnyk	卤 囟 鹾
hnyq	牦
hlbs	烨
hldm	馗
hlnf	熵
hlgk	嶝
hlkf	焙
hlkz	嶂
hlhd	峁
hgms	汆
hgdp	籴
hgdr	颅
hgnl	焖
hglg	乏
hggx	煽
hggc	煸
hggv	烬
hkbg	黻 黼
hkfm	岢
hkdp	崃
hkdd	峡
hkdn	凿
hknj	炖
hkgj	炬
hkqs	烧
hkcz	遽
hkyj	岖
hhpy	巍
hhml	熄
hhdt	燔
hhdn	烀
hhnd	燠
hhnq	峨
hhkj	觑
hhsr	嵊
hhrw	煌
hjnd	焕
hjgp	粲
hjgd	刿
hjgg	餐
hjks	煅
hjqd	嵛
hjxm	峥
hjvq	燃
hqmh	岈
hqkp	躲
hqkf	躺
hqkg	躬
hqkh	身
hqkj	躯
hqkc	射
hxlf	焐
hxxr	熠
hzmc	爝
hzmv	炸
hzdr	巅
hzlg	廷
hcbp	嵘
hcbh	崂
hctt	崖
hcxq	崴
hcvb	嵌
hcvp	煤
hsmb	乖
hsmd	剩
hsmr	乘
hsfd	刮
hsfn	鸹
hsfl	憩
hsfj	乱 舐
hsfx	辞
hsfz	适
hsfs	舔
hsfv	甜
hsfw	敌
hsfy	煳
hslb	牌
hslp	牒
hslf	版
hsld	牍
hslg	牖
hsgk	垂
hskj	岷
hsjb	歃
hsqj	烤
hsrq	嵴
hrbs	皖
hrby	魄
hrms	泉
hrmv	熳
hrfz	邀
hrfw	敫
hrdx	翱
hrds	皋
hrlf	焓
hrlg	岭
hrlk	煜
hrlj	炝
hrls	兜
hrly	皎
hrgs	爆
hrhf	皓
hrht	皤
hrhj	皑
hrvy	烩
hrwz	遑
hvth	甥
hvxk	烃
hwnf	嵩
hwln	崞
hwsm	峰 烽
hybb	舭
hybw	峻
hyfm	舯
hydm	艏
hytf	船
hylm	艋
hylv	艟
hygq	艉
hygy	舣
hykm	舸
hykr	艚
hyhg	艇 舻
hyhr	舶
hyjv	艘
hyqj	胤
hyqq	崤
hyqr	烯
hyxk	舡
hyzv	舴
hycc	艨
hysf	磐
hysq	艄
hyrj	舱
hywt	航
hywy	舷
jbbr	谐
jbds	诨
jbns	谊
jbhq	诧
jpvs	斜
jmsm	盥
jffj	谔
jffc	龠
jfdr	颌
jfkd	误
jfqg	龛
jfxb	歙
jfxx	翕
jfsz	谴
jdbf	谘
jdpn	襻
jdpx	襟
jdpz	谜
jdmg	补
jdmq	褙
jdfw	裎
jddn	袢
jddx	褛
jddz	裢
jdtg	褂
jdlp	褓
jdld	袂
jdlq	袱
jdgf	裾
jdgt	褫
jdgz	褪
jdgc	褊
jdgs	裤
jdgr	裥
jdgy	襁
jdkm	谥
jdkn	详
jdkh	谦
jdkc	谫
jdkr	谱
jdhz	衽
jdjf	袷
jdjk	裣
jdxf	裙
jdxr	褶
jdcf	褡
jdcd	诼
jdcc	褥
jdsb	舆
jdsx	裆
jdss	袍
jdsr	褚
jdrp	裸
jdrl	衿
jdrk	袒
jdrj	褐
jdrs	觯
jdrv	裼
jdvm	褴
jdvd	裱
jdvg	衩
jdvv	裰
jdwf	袼
jdyv	襦
jtbw	谡
jtlh	舅
jtjg	璺
jtjh	爨
jntf	调
jlbf	谤
jlbr	谛
jlnf	谪
jlgf	谲
jlgn	诵
jlkb	彘
jlkf	词
jlkn	彝
jlkc	彖
jlkr	谙
jlky	蠡
jlcs	谚
jlsr	贯
jlwg	母
jlwq	谯
jgbb	夤
jgmg	外
jgfn	祸
jgdn	祥
jgdq	禚
jgds	禅
jgty	祛
jgnp	谰
jgns	祖
jglm	眢
jglf	祠
jgln	鸳
jgll	怨
jgls	禄
jggx	祈
jggc	谝
jgkf	诟
jgkd	祆
jgkt	福
jghd	祧
jghr	祯
jgjg	多
jgjx	祢
jgqp	桀
jgqm	舛
jgqg	祓
jgxg	祗
jgzf	禧
jgzv	祚
jgcb	祺
jgsf	祜
jgsd	禊
jgsc	祷
jgrg	飧
jgwd	禳
jkbs	鲩
jkmp	谏
jkmv	鳏
jkfp	觫
jkfm	诃
jkfj	鳄
jkdm	鳞
jkdf	鳝
jkdn	鲜
jkdz	鲢
jkdc	鳟
jkds	评
jkdv	鲕
jktt	鲑
jktl	鳃
jktw	鲮
jknf	鲷
jknk	鲴
jknq	诫
jklc	鲋
jklr	鳍
jkly	鲛 鲺
jkgm	鳙
jkgh	鳓
jkgj	讵
jkgc	鳊
jkkg	鲡
jkks	鲆
jkkv	鲰
jkky	鲠
jkhp	稣
jkhf	鲇
jkhg	鲈
jkhh	鳅
jkhx	鲧
jkhv	诹
jkhw	鳇
jkjd	鲫
jkjs	鲵
jkjv	鲤
jkqg	鱿 鲅
jkqk	鳢
jkqq	鲔
jkxg	试
jkxx	鳔
jkxc	鲟
jkzf	鲒
jkzh	鳐
jkzw	鳆
jkcb	鳜
jkcp	鲽
jkst	鲻
jkss	鲍
jksr	鲼
jkrb	鲲
jkrl	鲶
jkrx	鳎
jkrc	鲥
jkrr	鲳
jkrv	鳗
jkvt	鲣
jkvq	鲭
jkvy	鳋
jkwj	诓
jkwq	鲚
jkyf	鲐
jkyj	讴
jkyx	鳕
jhpn	诱
jhpx	诿
jhtf	诰
jhts	诜
jhqc	谢
jhsf	话
jhvg	发
jjbv	馆
jjpk	馇
jjmv	馋
jjfr	馈
jjfy	蚀
jjdt	馐
jjdk	饼
jjnd	馕
jjlf	饲
jjlt	馏
jjlv	饧
jjly	饺
jjgg	够
jjgw	馓
jjkh	饵
jjkj	饨
jjks	饶
jjhq	饿
jjhz	饪
jjjp	馀
jjjj	馅
jjjv	馊
jjqd	谕
jjxm	诤
jjzh	饬
jjzx	馁
jjzr	饰
jjcd	馍
jjcj	诡
jjcv	馑
jjcw	谵
jjsn	饽
jjsg	馔
jjss	饱
jjrb	馄
jjrv	馒
jjvq	饯
jjyf	饴
jqmh	讶
jqdl	愈
jqdj	觎
jqdq	毹
jqdz	逾
jqjn	鹫
jqjg	就
jqsk	暨
jqsr	谮
jxlf	语
jxlw	雏
jxks	毁
jxjg	诋
jxxs	谬
jxrk	诬
jxwg	玺
jxwq	煞
jzmv	诈
jzlg	诞
jzlv	觞
jzgv	谖
jzjg	诲
jzzh	谣
jcbw	詹
jclj	危
jclq	诚
jckp	谍
jckv	谨
jchn	解
jchz	邂
jchy	蟹
jcqf	诺
jcsj	谌
jcrd	谟
jcvp	谋
jcwh	谎
jsfs	谠
jsnq	谳
jsld	读
jskd	剑
jsks	觥
jskw	敛
jshw	诳
jsqr	诸
jrmv	谩
jrll	谂
jrsj	谒
jrrq	谶
jvlm	野
jvlt	墅
jvlx	祭
jvqq	然
jwln	谆
jwrs	谇
jwyr	该
jybc	鼢
jyxf	鼯
jyzd	诶 鼷
jyrx	鼹
qbbm	镩
qbbr	锴
qbgf	砻
qbgd	袭
qbgt	垄
qbgg	龚
qbgh	聋
qbkc	镓
qbjx	镲
qbqb	镔
qmln	存
qmhn	鸦
qmhz	迓
qmhv	邪
qmhw	雅
qmjg	锣
qmsy	镯
qffj	锷
qfzd	镞
qfzz	镟
qdpx	镂
qdmg	钚
qdmc	锵
qdfj	锩
qddx	镣
qdgh	锑
qdkm	镒
qdkn	氧
qdkr	镨
qdsn	锛
qdsz	链
qdwd	镁
qtyx	镙
qndk	氤 铟
qnsk	锢
qnsh	锄
qnrd	铡
qlbf	镑
qlbs	铧
qlnm	锰
qlnf	镝
qlgk	镫
qlkf	锫
qlkl	镱
qlks	镜
qlhd	铆
qlvs	氯
qlwn	镌
qgfy	镪
qgdh	镰
qgnp	镧
qgnk	锎
qgnr	锏
qglf	锔
qgqr	镄
qgxb	锨
qgxm	镛
qgcv	镀
qgsf	锯
qkfm	钶
qkfj	钷
qkdp	铼
qkdd	铗
qknj	钝
qklg	铽
qklv	铴
qkgj	钜
qkhk	氩
qkhv	镊
qkjq	钺
qkqg	铺
qkqs	铙
qhpn	锈
qhph	锹
qhmp	镍
qhdd	铫
qhtf	锆
qhts	铣
qhty	铥
qhnq	锇
qhkf	镤
qhzg	铤
qhsk	锤
qhsj	锸
qhrr	锦
qjmj	铯
qjmv	锼
qjfn	镎
qjgf	铭
qjks	锻
qjkr	镥
qjxm	铮
qjrq	尬
qjvm	尴
qqmv	铘
qqqy	飙
qqvg	钹
qxbv	锓
qxng	键
qxkj	钙
qxvx	镖
qzgv	锾
qcbh	铹
qcnb	镢
qclq	铖
qclv	镬
qcqf	锘
qcrd	镆
qsmd	锲
qsft	镗
qsnr	锁
qshc	铸
qsqj	铐
qsqr	锗
qsvl	锪
qrbb	锟
qrmv	镘
qrlg	铃
qrkc	锝
qrsv	锡
qrrt	锉
qvkm	锕
qvxk	氢
qvvt	铿
qwfd	镶
qwnf	镐
qwlw	镦
qwhd	铱 锿
qwsm	锋
qwyh	锍
qwys	铳
qwyr	氦
qylw	雄
qysv	锺
xbkc	嫁
xbhq	姹
xbjj	婉
xbqb	嫔
xbzd	嫉
xmqb	肃
xmsz	逮
xfmq	熙
xfmr	颐 赜
xffk	噩
xfkd	娱
xfyx	絮
xdlg	妫
xdgh	娣
xdkh	嫌
xdzw	覆
xdrs	婵
xtyx	嫘
xndk	姻
xnnk	姗
xnlg	建
xnsy	媸
xlnf	嫡
xlnv	娜
xlgm	妤
xlkf	吾
xlkz	嫜
xlzq	婿
xgpm	嬷
xgnp	娴
xgyq	娓
xkmq	嫣
xkms	汞
xkfp	辣
xkfl	恐
xkfj	銎
xkfz	跫
xkfw	嫩
xkfy	蛩
xkdr	项
xknr	贡
xklh	功
xkgr	姨
xkkj	巧
xkhk	娅
xkqs	娆
xkxz	婕
xkyj	妪
xhml	媳
xhfn	群
xhfv	郡
xhdd	姚
xhnb	媲
xhnt	媾
xhnq	娥
xhlh	劣
xhjh	姊
xjmv	嫂
xjlg	姆
xjgn	鸱
xjgr	姒
xjgv	邸
xxfj	姬
xxtg	翼
xxlk	翌
xxlq	戳
xxlw	翟
xxjr	婚
xxrn	鹨
xxrq	戮
xxvx	嫖
xxws	翠
xzbv	嫒
xzff	嬉
xzgv	媛
xcrd	嫫
xcvp	媒
xcvd	娠
xsfr	嫦
xsdh	嫱
xrrk	巫
xrrj	觋
xvbc	酚
xvbr	酯
xvfw	酲
xvdm	酬
xvdg	酞
xvdj	酏
xvdz	醚
xvlf	醅
xvln	孥
xvlh	努
xvlq	醮 醑
xvgf	醣
xvgg	酿
xvgr	醋
xvkm	酊 婀
xvkg	酾
xvkx	辫
xvkc	酽
xvhp	酥
xvhf	酷 醭
xvhd	婊
xvhc	醵
xvhs	酰
xvjp	酴
xvjf	酩
xvqm	醢
xvqk	醴
xvxd	剽
xvxg	瓢
xvxs	醪
xvxy	飘
xvzg	酶
xvzc	酹
xvzv	酢
xvcq	醛
xvcv	酣
xvsf	酤
xvsn	酵
xvsy	醐
xvrb	醌
xvrz	醍
xvrv	醒
xvvy	酝
xvwm	醯
xvwf	酪
xvwn	醇
xvws	醉
xvyn	酗
xvyq	醺
xvyw	酸
xwbm	婷
xwhk	嬗
xypm	孀
xykj	娉
zbbk	箜
zbbs	筚
zbds	毂
zbtl	悫
zbgs	彀
zbkl	懿
zbkk	壹
zbhk	壶
zbjm	舜
zbjj	箢
zbjs	觳
zbqv	爱
zmdx	纂
zmdy	篡
zmjg	箩
zmjc	爵
zmzm	竹
zmcq	篾
zmsf	磬
zmsh	罄
zmsr	馨
zmsw	謦
zmvl	怎
zmvz	迮
zfdb	鼙
zfdm	瞽
zfdf	喜 嘉
zfdq	熹
zfds	彭
zfdr	颉
zfdv	鼓
zfdw	甏
zfzd	簇
zfsr	篑
zdpx	篓 簖
zdfr	智
zdnr	颠
zdlw	雉
zdgm	矧
zdkp	榘
zdkd	箭
zdkk	短
zdkj	矩
zdkr	筛
zdhx	矮
zdjz	迤
zdrt	矬
zdrs	箪
zdyq	矫
ztsd	筠
znmj	筢
znlt	籀
znkj	箍
zncv	箝
znvn	箨
zlmw	筱
zlnj	乳
zlnv	郛
zlld	篌
zlgk	簦
zlkf	笥
zlkq	筏
zlhf	笳
zlhz	笾
zgmg	笊
zgmh	第
zgnr	简
zggc	篇
zght	篪
zgyb	簧
zkfb	簌
zkfj	笸 篚
zkfr	籁
zknp	策
zkkj	箧
zkkc	簿
zkhr	箔
zkry	筻
zkwj	筐
zhts	筅
zhnb	篦
zhnt	篝
zhld	缺
zhhn	罅
zhjh	笫
zhxk	缸
zhcw	罐
zhrs	篼
zhrw	篁
zjlg	每
zjlk	鳘
zjlh	毓
zjlx	繁
zjlc	篆
zjlw	敏
zjxm	筝
zjsk	签
zqbg	笼
zqsr	簪
zxmb	箫
zxkf	筑
zxkv	筇
zxrk	筮
zzmv	笮
zzlg	筵
zzhn	鹞
zzhx	繇
zzhz	遥
zcfq	箴
zcdr	貊
zclp	貅
zchb	貔
zcht	虢
zchz	邈
zchs	貌
zcqf	箬
zccf	貂
zccd	貘
zcsb	箕
zcsp	簸
zcwf	貉
zsbb	鬓
zsbx	鬃
zspr	籍
zsmb	髭
zsmd	鬟
zsdj	鬈
zsnt	髯
zslp	髹
zsld	筷
zskm	舞
zsks	髡
zshh	鬏
zshc	筹
zsqr	箸
zszf	髻
zscf	髫
zssy	鬣
zsyq	髦
zrdn	掣
zvnr	箦
zvxb	款
zvzm	篮
zwnf	篙
zwsz	篷
zwyn	篱
zylh	筋
cbbs	荜
cbbr	蒈
cbms	荥
cbff	营
cbfy	萤
cbdf	菪
cbds	荤
cblh	劳
cbls	茕
cblr	蓿
cbkk	萱
cbhn	荦
cbjj	菀
cbzd	蒺
cbvp	蔻
cbvc	蒙
cbvs	莞
cbwg	莹
cbyx	萦 蓊
cpby	菘
cpgx	菥
cmbb	薨
cmbm	瞢
cmbw	甍
cmjg	萝
cmcq	蔑
cmsr	薯
cffn	鹳
cffj	萼
cffr	颧
cflh	劭
cfkh	葺
cfkq	蕺
cfql	感
cfzd	蔟
cfsr	蒉
cfrv	菸
cdbn	葬
cdpx	蒌
cdpw	薮
cdmk	苤
cdmz	蓰
cdmc	蒋
cdmw	厦
cdfk	薤
cdnr	顺
cdkh	蒹
cdhw	薇
cdjm	蘅
cdsz	莲
cdrx	蕲
cdvm	荇
cdvx	萘
ctbw	菱
cttc	葑
cnbd	劂
cndl	蒽
cndk	茵
cnhk	菌
cnqg	菝
cnrd	厕
clbf	蒡
clbr	蒂
clmn	菡
clmh	蔬
clmq	蒸
clmw	莜
clfp	葆
clng	菰
clnj	芤
clnx	荪
cllf	蓓
clll	蕊
cllk	莅
cllr	赝
cllw	雁
clgd	葵
clgc	茅
clgr	蓣
clkm	荷
clkf	菩
clkl	薏
clkx	薪
clhf	茄
clhd	茆
clhh	荔
clhz	荏
clhv	苏
cljr	顾
clqm	盛
clvd	荬
clwd	劐
clwq	蕉
cgpf	蘑 蘼
cgmv	葭
cgnw	蔺
cglg	芝
cggv	荩
cgcq	蔗
cgvc	蔚
ckmq	蔫
ckfb	蔌
ckfp	藻
ckfm	苛
ckfh	勤
ckfj	觐
ckfq	燕
ckfc	厨
ckfv	堇 鄞
ckdp	莱
ckdd	荚
ckds	苹
ckns	菹
cknr	颟
cklj	范
cklv	荡
ckgd	蒎
ckgg	蒗
ckgj	苣
ckgr	荑
ckkp	蕖
ckkm	菏
ckkg	蒲
ckkc	薄
ckks	萍
ckht	藩
ckjh	励
ckjr	贳
ckqg	莆
ckqs	荛
ckxk	茳
ckxh	莎
ckxx	萋
ckcv	蕤
ckrl	蕙
ckwf	落
ckwj	茫
chpd	莉
chpn	莠
chpx	萎
chps	藜
chdt	蕃
chnb	蓖
chnq	莪
chkz	蘧
chzg	莛
chrl	愿
chrj	葩
chrx	原
chrs	蔸
chvp	蘖
chvn	孽
chvx	薛
cjdq	臧
cjgf	茗
cjgj	苑
cjgr	苡
cjkd	蓟
cjkn	藓
cjqs	厩
cjsk	莶
cjsw	蔹
cjrj	蔼
cjvx	蔡
cjwp	檠
cjwn	擎
cjww	警
cqbg	茏
cqby	魇
cqmt	茬
cqmn	荐
cqmh	芽
cqfl	惹
cqds	靥
cqrg	餍
cqvg	茇
cxmb	萧
cxxs	蓼
cxcc	薅
cxsf	菇
cxvq	蘸
czft	薹
czln	莩
czjg	莓
czjx	蘩
czcs	藐
ccnb	蕨
ccnq	蒇
cclh	苈
cclj	苊
ccjq	藏
ccxq	葳
ccsb	萁
ccsj	葚
ccsx	厮
ccvc	蓐
csbb	欺
csbt	基
csbn	荸
csbh	勘
csbj	甚
csbq	戡
csbx	斯 綦
csbs	斟
csby	期
cspn	藕
cspr	藉
csmd	葜
csfy	葫
csdp	菊
csdh	蔷
cskg	葡
cskj	苠
cshg	莸
cshh	荻
cshq	获
csqr	著
csxq	戚
csxz	蹙
csxv	菽
cszh	萄
csrp	蓁
csvl	葱
crmv	蔓
crdm	蓦
crdt	墓
crdn	摹
crdh	募
crds	慕
crdr	幕 暮
crln	厚
crlg	苓
crlj	苍
crkv	蕞
crhf	萜
crsj	葛
crvy	荟
cvlc	萨
cvkm	蕴
cvkk	荭
cvkj	莼
cvkc	荮
cvks	药
cvjf	唇
cvjd	辰
cvjc	辱
cvjy	蜃
cvxk	茎
cvxx	蒜
cvzm	蓝
cwbm	葶
cwnp	藁
cwnf	蒿
cwjh	荒
cwsz	蓬
cwrd	蓑
cwrs	萃
cwvw	蕹
cwyt	蓄
cwyn	蓠
cwyq	荠
cwys	茺
cymq	薰
cyds	藤
cydv	菔 薷
cylw	藿
cysv	董
cyyd	蒯
sbds	恽
sbln	孛 鹁
sblh	勃
sbjj	惋
sbjy	愧
sbyx	索
sppz	憷
spmj	耙
spdx	耧
splf	耪
spln	耔
spgf	耱
spht	耩
spjf	耠
spxh	耖
spch	耢
spcc	耨
spsf	耥
sprn	耦
spvq	耕
spvy	耘
spyq	耗
smdf	砉
smjj	艳
smcd	契
smcn	挈
smcl	恝
smsl	慧
smsx	彗
sfmj	邕 悒
sffj	愕
sfnr	赏
sfgv	嘏
sfsr	愦
sfwd	裳
sfyn	鹕
sdmg	怀
sdmr	憎
sdnr	须
sdgh	悌
sdkd	丧
sdkh	啬 慊
sdkq	戕
sdzd	奘
sdsx	惭
sdrs	惮
stdg	悻
snpk	悃
snfq	氅
snfw	敞
sndg	南
sndj	惘
sndq	献
sntf	惆
snsb	惧
snss	矗
snrd	恻
snyz	邋
slkv	憧
slhv	协
slvd	卖
slvj	觌
slwq	憔
sgny	悯
sghf	惦
sgxm	慵
sgxs	慷
sgyb	黉
skbn	举
skbw	誉
skfp	悚
skft	匐
skfr	懒
skds	怦
skkj	惬
skhv	慑
skjl	愍
skqg	匍
skqc	博
skss	辉
sksw	耀
skrk	恒
skyj	怄
shbm	狞
shbt	狴
shbc	狩
shpn	悸
shpk	猹
shph	愀
shmm	猸
shmg	猡
shfq	狷
shfy	独
shdm	猗
shdx	獠
shdr	狮
shdv	惴
shtf	喾
shtd	猥 猿
shtq	猬
shnd	懊
shns	狙
shnr	狈
shlp	猱
shlm	猛
shld	猴
shlt	狃
shlj	犯
shlx	狲
shlz	獐
shls	獍
shly	狡
shgg	狼
shgq	猾 狒
shgx	猕
shgr	猎
shkd	狭
shkq	狨
shkr	獭
shhd	猁
shhl	犰
shhz	逖
shjp	狳
shjm	狰
shjn	獬
shjk	猃
shjq	狱
shjs	猊
shjv	狸
shqg	犹
shcb	獗
shct	猫
shcq	焘
shcw	獾
shsp	橥
shsf	恬
shss	狍
shsr	猪
shsy	猢
shrp	猓
shrf	猞
shrr	猖
shrv	猩
shrw	惶
shry	狯
shvq	猜
shvr	帮
shwz	逛
shws	猝
shyq	獯
shys	狁
shyw	狻
sjlr	惯
sjqd	愉
sjqs	慨
sjcn	懈
sqln	孝
sqlw	教
sqkj	考
sqjg	忧
sqxq	惰
sqrq	煮
sqrx	翥
sqrv	都
sxlf	悟
sxsx	兢
sxvm	督
szmv	怍
szkq	戟
szjg	悔
szzl	乾
szrx	翰
szrs	斡
szrw	愎
szvd	韩
scmm	懵
scfl	憾
scnr	贲
scwh	慌
scyv	懂
ssbn	悖
ssnf	惝
ssks	恍
sscr	愤
ssvl	惚
srpd	剿
srms	泰
srmv	慢
srlg	怜
srlj	怆
srkd	奏
srhp	秦
srhv	惺
srsv	惕
srrr	赍
srry	蠢
svxx	翅
svvt	悭
svyh	恸
svyx	愫
swhx	懔
swrs	悴
swyn	恼
sybw	悛
syds	惨
sydv	懦
rbds	晕 晖
rbkk	暄
rbrl	暝
rpdr	颗
rpgx	晰
rpjg	夥
rmsr	曙
rdwq	曦
rnvm	帽
rnwk	帼
rlbs	晔
rlfr	颔
rlnr	贪
rlgd	暌
rlgx	翎
rlgr	领
rlgv	邻
rlgw	瓴
rlkz	幛
rlkr	暗
rlkv	幢
rlhd	昴
rljd	创
rljq	戗
rlwd	衾
rlwz	暹
rgms	暴
rgmv	暇
rgfm	舒
rgkt	幄
rkft	幅
rkhv	最
rkjv	量
rkqg	晡
rkqs	晓
rhdd	晁
rhdt	幡
rhnr	帧
rhkf	幞
rhvq	戥
rjdr	颢
rxlf	晤
rxxz	遢
rxxw	曜
rzbv	暧
rzmv	昨
rzdr	题
rzgv	暖
rzjg	晦
rzvd	韪
rcfq	照
rclq	晟
rcvd	晨
rsks	晃
rshc	帱
rsqr	暑
rsrb	歇
rsrj	曷
rsrz	遏
rsvd	剔
rrmv	幔
rrns	俎
rrlf	晗
rrgs	曝
rrkh	耸
rrss	幌
rvnr	帻
rvxt	畲
rvyd	刽
rvyv	郐
rwmf	晷
rwfd	曩
rwlw	暾
rwyn	禽
rymq	曛
vbbt	陛
vbjy	隗
vbvs	院
vmmm	骘
vmmh	陟
vmjn	鹉
vmjg	武
vfnr	陨
vdkm	隘
vdkz	隧
vdzj	韬
vdrm	韫
vtbw	陵
vtkd	隈
vlkf	陪
vlkz	障
vgfy	蚤
vkbb	缤 纰
vkbx	综
vkbz	绽
vkbc	纷
vkbr	缩
vkbv	绾
vkpm	缃
vkmd	缳
vkmh	缈
vkfp	缲
vkfm	阿
vkfh	缉
vkfj	绳
vkfq	绢
vkfz	缱
vkfr	缋
vkdb	练
vkdm	绮 缢 绗
vkdf	缮 辔
vkdd	陕
vkdn	绊
vkdh	绨 缣
vkdj	继 绔 绻
vkdx	缕 缭
vkds	缅
vkdr	缯
vktl	缌
vktx	缧
vktw	绫
vknf	绸
vkng	级
vknj	陋
vknx	缨
vkns	组
vkny	纲
vklm	纾
vkld	缑
vklt	纽
vkls	绿
vklr	缔
vklw	维
vkly	绞 缏
vkgq	绋
vkgc	编
vkgv	缠
vkkn	纡
vkkk	缰
vkkj	纯
vkkq	绒
vkkc	缚
vkks	绕
vkkr	缙
vkky	绠
vkhn	绣
vkhk	缍
vkhz	绰 缒
vkhs	纤
vkhr	绵 缵
vkhv	陬
